
                             RF1_thin_desl_1e5  RF1_thin_desl_1e5  U1_thin_desl_1e5_
                  X                _aplic             _apoio             aplic      

              617.506E-03        581.517           -581.59              19.152E-03  
              618.754E-03        583.222           -583.295             19.2082E-03 
              620.003E-03        584.922           -584.995             19.2643E-03 
              621.251E-03        586.618           -586.692             19.3202E-03 
              622.511E-03        588.325           -588.399             19.3764E-03 
              623.759E-03        590.012           -590.086             19.4321E-03 
              625.007E-03        591.694           -591.769             19.4875E-03 
              626.256E-03        593.372           -593.448             19.5428E-03 
              627.504E-03        595.045           -595.123             19.598E-03  
              628.752E-03        596.714           -596.792             19.6531E-03 
              630.001E-03        598.378           -598.458             19.7079E-03 
              631.26E-03         600.052           -600.133             19.7631E-03 
